ENSG00000186092.6	OR4F5
ENSG00000163093.12	BBS5
ENSG00000251569.1	AC093899.2
ENSG00000239474.7	KLHL41
ENSG00000138399.18	FASTKD1
ENSG00000138398.16	PPIG
ENSG00000154479.13	CCDC173
ENSG00000144362.12	PHOSPHO2
ENSG00000213160.10	KLHL23
ENSG00000138385.16	SSB
ENSG00000138382.15	METTL5
ENSG00000144357.16	UBR3
ENSG00000071909.18	MYO3B
ENSG00000204335.3	SP5
ENSG00000204334.7	ERICH2
ENSG00000128683.14	GAD1
ENSG00000115806.13	GORASP2
ENSG00000198586.14	TLK1
ENSG00000123600.19	METTL8
ENSG00000115827.14	DCAF17
ENSG00000071967.12	CYBRD1
ENSG00000077380.15	DYNC1I2
ENSG00000115840.14	SLC25A12
ENSG00000128708.13	HAT1
ENSG00000172878.14	METAP1D
ENSG00000144355.15	DLX1
ENSG00000115844.11	DLX2
ENSG00000091409.15	ITGA6
ENSG00000152256.13	PDK1
ENSG00000091428.18	RAPGEF4
ENSG00000091436.17	MAP3K20
ENSG00000144354.14	CDCA7
ENSG00000172845.15	SP3
ENSG00000138430.16	OLA1
ENSG00000217236.2	SP9
ENSG00000138433.16	CIR1
ENSG00000144306.14	SCRN3
ENSG00000163328.13	GPR155
ENSG00000115935.17	WIPF1
ENSG00000138435.15	CHRNA1
ENSG00000128656.14	CHN1
ENSG00000115966.17	ATF2
ENSG00000154518.9	ATP5MC3
ENSG00000144320.14	LNPK
ENSG00000174279.4	EVX2
ENSG00000128714.6	HOXD13
ENSG00000170178.6	HOXD12
ENSG00000128713.13	HOXD11
ENSG00000128710.5	HOXD10
ENSG00000128709.13	HOXD9
ENSG00000175879.9	HOXD8
ENSG00000128652.11	HOXD3
ENSG00000170166.6	HOXD4
ENSG00000128645.15	HOXD1
ENSG00000128654.14	MTX2
ENSG00000170144.20	HNRNPA3
ENSG00000116044.16	NFE2L2
ENSG00000018510.15	AGPS
ENSG00000196659.9	TTC30B
ENSG00000197557.7	TTC30A
ENSG00000128655.18	PDE11A
ENSG00000284741.1	PDE11A
ENSG00000155636.15	RBM45
ENSG00000079156.17	OSBPL6
ENSG00000180228.13	PRKRA
ENSG00000204311.14	PJVK
ENSG00000079150.18	FKBP7
ENSG00000116095.11	PLEKHA3
ENSG00000155657.26	TTN
ENSG00000163492.15	CCDC141
ENSG00000187231.14	SESTD1
ENSG00000144331.20	ZNF385B
ENSG00000163510.14	CWC22
ENSG00000170035.16	UBE2E3
ENSG00000115232.14	ITGA4
ENSG00000188452.14	CERKL
ENSG00000162992.3	NEUROD1
ENSG00000138434.17	ITPRID2
ENSG00000150722.10	PPP1R1C
ENSG00000115252.18	PDE1A
ENSG00000077232.18	DNAJC10
ENSG00000162998.5	FRZB
ENSG00000061676.15	NCKAP1
ENSG00000162999.12	DUSP19
ENSG00000163002.13	NUP35
ENSG00000170396.8	ZNF804A
ENSG00000188738.15	FSIP2
ENSG00000065548.18	ZC3H15
ENSG00000138448.12	ITGAV
ENSG00000144369.13	FAM171B
ENSG00000163012.3	ZSWIM2
ENSG00000064989.13	CALCRL
ENSG00000003436.16	TFPI
ENSG00000144366.16	GULP1
ENSG00000174325.5	DIRC1
ENSG00000168542.14	COL3A1
ENSG00000204262.14	COL5A2
ENSG00000115368.10	WDR75
ENSG00000138449.10	SLC40A1
ENSG00000138381.10	ASNSD1
ENSG00000286053.1	ASDURF
ENSG00000286165.1	AC012488.2
ENSG00000151687.14	ANKAR
ENSG00000128694.12	OSGEPL1
ENSG00000128699.14	ORMDL1
ENSG00000064933.17	PMS1
ENSG00000187699.10	C2orf88
ENSG00000138379.4	MSTN
ENSG00000198130.16	HIBCH
ENSG00000151689.13	INPP1
ENSG00000151690.15	MFSD6
ENSG00000189362.12	NEMP2
ENSG00000138386.17	NAB1
ENSG00000115419.12	GLS
ENSG00000115415.18	STAT1
ENSG00000138378.19	STAT4
ENSG00000128641.19	MYO1B
ENSG00000173559.12	NABP1
ENSG00000168497.5	CAVIN2
ENSG00000144339.12	TMEFF2
ENSG00000196950.14	SLC39A10
ENSG00000118997.14	DNAH7
ENSG00000081320.11	STK17B
ENSG00000138411.13	HECW2
ENSG00000144395.18	CCDC150
ENSG00000119041.11	GTF3C3
ENSG00000187944.2	C2orf66
ENSG00000197121.15	PGAP1
ENSG00000065413.20	ANKRD44
ENSG00000115524.16	SF3B1
ENSG00000115520.8	COQ10B
ENSG00000144381.17	HSPD1
ENSG00000115541.11	HSPE1
ENSG00000270757.1	HSPE1-MOB4
ENSG00000115540.15	MOB4
ENSG00000162944.10	RFTN2
ENSG00000247626.4	MARS2
ENSG00000152430.17	BOLL
ENSG00000115896.16	PLCL1
ENSG00000119042.17	SATB2
ENSG00000226124.7	FTCDNL1
ENSG00000178074.6	C2orf69
ENSG00000162971.11	TYW5
ENSG00000162972.10	MAIP1
ENSG00000196141.14	SPATS2L
ENSG00000155729.13	KCTD18
ENSG00000163535.18	SGO2
ENSG00000138356.14	AOX1
ENSG00000082153.18	BZW1
ENSG00000013441.16	CLK1
ENSG00000240344.9	PPIL3
ENSG00000196290.15	NIF3L1
ENSG00000115942.9	ORC2
ENSG00000155744.9	FAM126B
ENSG00000119013.9	NDUFB3
ENSG00000003402.20	CFLAR
ENSG00000003400.14	CASP10
ENSG00000064012.21	CASP8
ENSG00000155749.12	FLACC1
ENSG00000115993.13	TRAK2
ENSG00000082146.13	STRADB
ENSG00000155754.15	C2CD6
ENSG00000155755.19	TMEM237
ENSG00000082126.18	MPP4
ENSG00000003393.15	ALS2
ENSG00000138395.15	CDK15
ENSG00000155760.2	FZD7
ENSG00000182329.13	KIAA2012
ENSG00000116030.16	SUMO1
ENSG00000055044.11	NOP58
ENSG00000204217.14	BMPR2
ENSG00000138439.12	FAM117B
ENSG00000163596.16	ICA1L
ENSG00000138442.9	WDR12
ENSG00000138380.18	CARF
ENSG00000144426.18	NBEAL1
ENSG00000119004.15	CYP20A1
ENSG00000138443.16	ABI2
ENSG00000173166.18	RAPH1
ENSG00000178562.18	CD28
ENSG00000163599.17	CTLA4
ENSG00000163600.12	ICOS
ENSG00000116117.18	PARD3B
ENSG00000118257.16	NRP2
ENSG00000114933.16	INO80D
ENSG00000023228.14	NDUFS1
ENSG00000114942.14	EEF1B2
ENSG00000183671.12	GPR1
ENSG00000204186.10	ZDBF2
ENSG00000114948.13	ADAM23
ENSG00000235118.8	FAM237A
ENSG00000232125.4	DYTN
ENSG00000138400.13	MDH1B
ENSG00000118246.14	FASTKD2
ENSG00000144410.4	CPO
ENSG00000118263.15	KLF7
ENSG00000118260.15	CREB1
ENSG00000144401.14	METTL21A
ENSG00000163249.12	CCNYL1
ENSG00000163251.4	FZD5
ENSG00000178385.15	PLEKHM3
ENSG00000118231.5	CRYGD
ENSG00000163254.5	CRYGC
ENSG00000182187.4	CRYGB
ENSG00000168582.4	CRYGA
ENSG00000188674.11	C2orf80
ENSG00000138413.13	IDH1
ENSG00000115020.17	PIKFYVE
ENSG00000144407.9	PTH2R
ENSG00000078018.19	MAP2
ENSG00000144406.18	UNC80
ENSG00000197713.15	RPE
ENSG00000144445.17	KANSL1L
ENSG00000115361.8	ACADL
ENSG00000168530.16	MYL1
ENSG00000115365.11	LANCL1
ENSG00000021826.15	CPS1
ENSG00000178568.15	ERBB4
ENSG00000030419.16	IKZF2
ENSG00000144451.19	SPAG16
ENSG00000174453.9	VWC2L
ENSG00000138376.11	BARD1
ENSG00000144452.15	ABCA12
ENSG00000138363.15	ATIC
ENSG00000115414.19	FN1
ENSG00000118242.16	MREG
ENSG00000115425.14	PECR
ENSG00000163449.11	TMEM169
ENSG00000079246.16	XRCC5
ENSG00000144583.5	MARCH4
ENSG00000138375.12	SMARCAL1
ENSG00000197756.9	RPL37A
ENSG00000115457.10	IGFBP2
ENSG00000115461.5	IGFBP5
ENSG00000118245.2	TNP1
ENSG00000079308.19	TNS1
ENSG00000188282.12	RUFY4
ENSG00000180871.8	CXCR2
ENSG00000163464.7	CXCR1
ENSG00000163466.16	ARPC2
ENSG00000179921.15	GPBAR1
ENSG00000127837.9	AAMP
ENSG00000127838.14	PNKD
ENSG00000135926.15	TMBIM1
ENSG00000158428.4	CATIP
ENSG00000018280.17	SLC11A1
ENSG00000144579.7	CTDSP1
ENSG00000127831.10	VIL1
ENSG00000135913.11	USP37
ENSG00000144580.13	CNOT9
ENSG00000115556.14	PLCD4
ENSG00000115568.15	ZNF142
ENSG00000074582.14	BCS1L
ENSG00000163481.8	RNF25
ENSG00000163482.12	STK36
ENSG00000135912.11	TTLL4
ENSG00000135929.9	CYP27A1
ENSG00000115592.11	PRKAG3
ENSG00000115596.4	WNT6
ENSG00000135925.9	WNT10A
ENSG00000171450.5	CDK5R2
ENSG00000163497.2	FEV
ENSG00000163499.12	CRYBA2
ENSG00000181378.14	CFAP65
ENSG00000163501.7	IHH
ENSG00000187736.12	NHEJ1
ENSG00000280537.2	AC068946.1
ENSG00000213901.10	SLC23A3
ENSG00000115649.16	CNPPD1
ENSG00000144567.11	RETREG2
ENSG00000158552.13	ZFAND2B
ENSG00000115657.14	ABCB6
ENSG00000284820.1	AC068946.2
ENSG00000198925.12	ATG9A
ENSG00000163516.13	ANKZF1
ENSG00000163521.16	GLB1L
ENSG00000115661.14	STK16
ENSG00000127824.14	TUBA4A
ENSG00000243910.7	TUBA4B
ENSG00000135924.15	DNAJB2
ENSG00000054356.14	PTPRN
ENSG00000182698.11	RESP18
ENSG00000123992.19	DNPEP
ENSG00000175084.11	DES
ENSG00000072195.15	SPEG
ENSG00000286143.1	AC053503.7
ENSG00000286095.1	SPEGNB
ENSG00000144591.18	GMPPA
ENSG00000072182.12	ASIC4
ENSG00000123989.14	CHPF
ENSG00000188760.10	TMEM198
ENSG00000124006.15	OBSL1
ENSG00000123999.5	INHA
ENSG00000144589.22	STK11IP
ENSG00000114923.17	SLC4A3
ENSG00000116106.12	EPHA4
ENSG00000135903.19	PAX3
ENSG00000163081.3	CCDC140
ENSG00000163082.10	SGPP2
ENSG00000116120.10	FARSB
ENSG00000124003.12	MOGAT1
ENSG00000123983.14	ACSL3
ENSG00000152049.6	KCNE4
ENSG00000171951.5	SCG2
ENSG00000152056.17	AP1S3
ENSG00000286239.1	AC093884.1
ENSG00000085449.15	WDFY1
ENSG00000135900.4	MRPL44
ENSG00000135919.13	SERPINE2
ENSG00000124019.10	FAM124B
ENSG00000036257.13	CUL3
ENSG00000283428.1	CCDC195
ENSG00000135905.19	DOCK10
ENSG00000144460.12	NYAP2
ENSG00000169047.5	IRS1
ENSG00000144468.17	RHBDD1
ENSG00000081052.12	COL4A4
ENSG00000169031.19	COL4A3
ENSG00000168958.19	MFF
ENSG00000168955.3	TM4SF20
ENSG00000284629.1	SCYGR1
ENSG00000173744.17	AGFG1
ENSG00000284643.1	SCYGR2
ENSG00000042304.11	C2orf83
ENSG00000284704.1	SCYGR3
ENSG00000284631.1	SCYGR4
ENSG00000284667.1	SCYGR5
ENSG00000135917.15	SLC19A3
ENSG00000284725.1	SCYGR6
ENSG00000284718.1	SCYGR7
ENSG00000284635.1	SCYGR8
ENSG00000115009.13	CCL20
ENSG00000123977.10	DAW1
ENSG00000153820.13	SPHKAP
ENSG00000153823.18	PID1
ENSG00000187957.8	DNER
ENSG00000153827.13	TRIP12
ENSG00000153832.12	FBXO36
ENSG00000163053.11	SLC16A14
ENSG00000135899.17	SP110
ENSG00000079263.19	SP140
ENSG00000185404.16	SP140L
ENSG00000067066.17	SP100
ENSG00000135932.11	CAB39
ENSG00000135916.16	ITM2C
ENSG00000135898.10	GPR55
ENSG00000173699.16	SPATA3
ENSG00000204128.6	C2orf72
ENSG00000173692.13	PSMD1
ENSG00000135914.6	HTR2B
ENSG00000135931.17	ARMC9
ENSG00000156966.7	B3GNT7
ENSG00000115053.16	NCL
ENSG00000171596.7	NMUR1
ENSG00000177673.3	TEX44
ENSG00000187514.16	PTMA
ENSG00000156973.14	PDE6D
ENSG00000144524.17	COPS7B
ENSG00000163273.4	NPPC
ENSG00000144535.19	DIS3L2
ENSG00000163283.7	ALPP
ENSG00000163286.9	ALPG
ENSG00000163295.5	ALPI
ENSG00000171551.12	ECEL1
ENSG00000237412.6	PRSS56
ENSG00000135902.10	CHRND
ENSG00000196811.13	CHRNG
ENSG00000221944.7	TIGD1
ENSG00000135930.14	EIF4E2
ENSG00000115468.12	EFHD1
ENSG00000204120.14	GIGYF2
ENSG00000115474.6	KCNJ13
ENSG00000182600.9	SNORC
ENSG00000066248.15	NGEF
ENSG00000115488.3	NEU2
ENSG00000168918.14	INPP5D
ENSG00000085978.22	ATG16L1
ENSG00000130561.17	SAG
ENSG00000077044.10	DGKD
ENSG00000085982.13	USP40
ENSG00000242366.3	UGT1A8
ENSG00000242515.5	UGT1A10
ENSG00000241119.2	UGT1A9
ENSG00000244122.2	UGT1A7
ENSG00000167165.19	UGT1A6
ENSG00000240224.1	UGT1A5
ENSG00000244474.5	UGT1A4
ENSG00000243135.6	UGT1A3
ENSG00000241635.7	UGT1A1
ENSG00000185038.14	MROH2A
ENSG00000123485.12	HJURP
ENSG00000144481.17	TRPM8
ENSG00000072080.11	SPP2
ENSG00000188042.8	ARL4C
ENSG00000130147.16	SH3BP4
ENSG00000157985.19	AGAP1
ENSG00000168505.7	GBX2
ENSG00000182177.14	ASB18
ENSG00000132321.17	IQCA1
ENSG00000144476.6	ACKR3
ENSG00000198612.11	COPS8
ENSG00000163359.15	COL6A3
ENSG00000115648.14	MLPH
ENSG00000071677.1	PRLH
ENSG00000124839.13	RAB17
ENSG00000124831.19	LRRFIP1
ENSG00000177483.11	RBM44
ENSG00000132329.11	RAMP1
ENSG00000184182.18	UBE2F
ENSG00000258984.5	UBE2F-SCLY
ENSG00000132330.17	SCLY
ENSG00000144488.15	ESPNL
ENSG00000168427.9	KLHL30
ENSG00000178752.16	ERFE
ENSG00000132323.9	ILKAP
ENSG00000144485.11	HES6
ENSG00000132326.12	PER2
ENSG00000204104.12	TRAF3IP1
ENSG00000065802.12	ASB1
ENSG00000233608.4	TWIST2
ENSG00000068024.16	HDAC4
ENSG00000130414.12	NDUFA10
ENSG00000182083.7	OR6B2
ENSG00000178586.5	OR6B3
ENSG00000172428.11	COPS9
ENSG00000178602.8	OTOS
ENSG00000063660.9	GPC1
ENSG00000144504.15	ANKMY1
ENSG00000188542.9	DUSP28
ENSG00000142327.13	RNPEPL1
ENSG00000142330.20	CAPN10
ENSG00000178623.12	GPR35
ENSG00000185176.12	AQP12B
ENSG00000184945.13	AQP12A
ENSG00000130294.16	KIF1A
ENSG00000172482.5	AGXT
ENSG00000172478.18	MAB21L4
ENSG00000226321.5	CROCC2
ENSG00000162804.14	SNED1
ENSG00000122085.17	MTERF4
ENSG00000115687.13	PASK
ENSG00000115685.15	PPP1R7
ENSG00000146205.13	ANO7
ENSG00000115677.17	HDLBP
ENSG00000168385.18	SEPT2
ENSG00000006607.14	FARP2
ENSG00000115694.15	STK25
ENSG00000176720.6	BOK
ENSG00000176946.12	THAP4
ENSG00000168397.17	ATG4B
ENSG00000168393.13	DTYMK
ENSG00000168395.15	ING5
ENSG00000180902.18	D2HGDH
ENSG00000154252.11	GAL3ST2
ENSG00000204099.11	NEU4
ENSG00000188389.11	PDCD1
ENSG00000188011.5	RTP5
ENSG00000216921.8	FAM240C
ENSG00000134121.10	CHL1
ENSG00000134115.13	CNTN6
ENSG00000144619.15	CNTN4
ENSG00000091181.19	IL5RA
ENSG00000072756.17	TRNT1
ENSG00000113851.14	CRBN
ENSG00000144455.14	SUMF1
ENSG00000175928.5	LRRN1
ENSG00000170364.12	SETMAR
ENSG00000150995.19	ITPR1
ENSG00000134107.4	BHLHE40
ENSG00000134108.13	ARL8B
ENSG00000134109.11	EDEM1
ENSG00000196277.16	GRM7
ENSG00000071282.12	LMCD1
ENSG00000125046.15	SSUH2
ENSG00000182533.6	CAV3
ENSG00000180914.10	OXTR
ENSG00000070950.10	RAD18
ENSG00000196220.16	SRGAP3
ENSG00000134077.16	THUMPD3
ENSG00000168137.16	SETD5
ENSG00000156959.9	LHFPL4
ENSG00000163719.19	MTMR14
ENSG00000144550.13	CPNE9
ENSG00000156983.15	BRPF1
ENSG00000114026.21	OGG1
ENSG00000134072.11	CAMK1
ENSG00000171148.13	TADA3
ENSG00000241553.12	ARPC4
ENSG00000250151.9	ARPC4-TTLL3
ENSG00000214021.16	TTLL3
ENSG00000156990.14	RPUSD3
ENSG00000187288.10	CIDEC
ENSG00000171135.15	JAGN1
ENSG00000163701.19	IL17RE
ENSG00000163702.20	IL17RC
ENSG00000163703.17	CRELD1
ENSG00000163704.12	PRRT3
ENSG00000125037.12	EMC3
ENSG00000144554.10	FANCD2
ENSG00000163705.12	FANCD2OS
ENSG00000254999.4	BRK1
ENSG00000134086.7	VHL
ENSG00000134070.5	IRAK2
ENSG00000157014.11	TATDN2
ENSG00000272410.5	AC022384.1
ENSG00000157017.15	GHRL
ENSG00000157020.18	SEC13
ENSG00000157087.20	ATP2B2
ENSG00000132164.10	SLC6A11
ENSG00000157103.12	SLC6A1
ENSG00000196639.6	HRH1
ENSG00000197548.12	ATG7
ENSG00000144560.15	VGLL4
ENSG00000144559.10	TAMM41
ENSG00000157152.17	SYN2
ENSG00000157150.5	TIMP4
ENSG00000132170.21	PPARG
ENSG00000154743.17	TSEN2
ENSG00000225526.4	MKRN2OS
ENSG00000075975.16	MKRN2
ENSG00000132155.11	RAF1
ENSG00000088726.16	TMEM40
ENSG00000144712.12	CAND2
ENSG00000144713.12	RPL32
ENSG00000144711.16	IQSEC1
ENSG00000132182.12	NUP210
ENSG00000163517.15	HDAC11
ENSG00000163520.14	FBLN2
ENSG00000154764.5	WNT7A
ENSG00000163528.13	CHCHD4
ENSG00000170876.7	TMEM43
ENSG00000268279.4	AC090004.1
ENSG00000154767.14	XPC
ENSG00000170860.4	LSM3
ENSG00000131389.17	SLC6A6
ENSG00000144596.13	GRIP2
ENSG00000154781.16	CCDC174
ENSG00000131379.9	C3orf20
ENSG00000154783.11	FGD5
ENSG00000177463.15	NR2C2
ENSG00000131368.8	MRPS25
ENSG00000131381.12	RBSN
ENSG00000131375.10	CAPN7
ENSG00000131370.16	SH3BP5
ENSG00000206562.11	METTL6
ENSG00000144597.14	EAF1
ENSG00000206561.13	COLQ
ENSG00000131373.14	HACL1
ENSG00000169814.13	BTD
ENSG00000206560.11	ANKRD28
ENSG00000131386.19	GALNT15
ENSG00000154813.10	DPH3
ENSG00000154814.14	OXNAD1
ENSG00000131378.14	RFTN1
ENSG00000092345.13	DAZL
ENSG00000154822.18	PLCL2
ENSG00000131374.14	TBC1D5
ENSG00000182568.17	SATB1
ENSG00000183960.9	KCNH8
ENSG00000163576.18	EFHB
ENSG00000144566.11	RAB5A
ENSG00000183977.13	PP2D1
ENSG00000114166.8	KAT2B
ENSG00000129810.15	SGO1
ENSG00000151789.12	ZNF385D
ENSG00000182247.10	UBE2E2
ENSG00000170142.11	UBE2E1
ENSG00000197885.10	NKIRAS1
ENSG00000174748.21	RPL15
ENSG00000174738.13	NR1D2
ENSG00000151090.19	THRB
ENSG00000077092.19	RARB
ENSG00000077097.15	TOP2B
ENSG00000151092.17	NGLY1
ENSG00000151093.8	OXSM
ENSG00000179796.12	LRRC3B
ENSG00000163491.16	NEK10
ENSG00000033867.16	SLC4A7
ENSG00000163508.12	EOMES
ENSG00000187118.13	CMC1
ENSG00000163512.14	AZI2
ENSG00000206559.8	ZCWPW2
ENSG00000283563.1	AC098650.1
ENSG00000144642.21	RBMS3
ENSG00000163513.17	TGFBR2
ENSG00000144644.14	GADL1
ENSG00000163527.9	STT3B
ENSG00000144645.13	OSBPL10
ENSG00000197385.5	ZNF860
ENSG00000152642.10	GPD1L
ENSG00000170293.9	CMTM8
ENSG00000153551.13	CMTM7
ENSG00000091317.8	CMTM6
ENSG00000144635.9	DYNC1LI1
ENSG00000182973.18	CNOT10
ENSG00000206557.6	TRIM71
ENSG00000183813.6	CCR4
ENSG00000170266.16	GLB1
ENSG00000188167.9	TMPPE
ENSG00000170275.14	CRTAP
ENSG00000173705.9	SUSD5
ENSG00000153558.15	FBXL2
ENSG00000153560.12	UBP1
ENSG00000163539.17	CLASP2
ENSG00000170248.15	PDCD6IP
ENSG00000172995.16	ARPP21
ENSG00000144681.10	STAC
ENSG00000163673.7	DCLK3
ENSG00000168016.14	TRANK1
ENSG00000178567.7	EPM2AIP1
ENSG00000076242.14	MLH1
ENSG00000093167.18	LRRFIP2
ENSG00000144674.16	GOLGA4
ENSG00000144668.12	ITGA9
ENSG00000144677.15	CTDSPL
ENSG00000136059.14	VILL
ENSG00000187091.13	PLCD1
ENSG00000008226.19	DLEC1
ENSG00000060971.18	ACAA1
ENSG00000172936.14	MYD88
ENSG00000172939.9	OXSR1
ENSG00000172940.12	SLC22A13
ENSG00000144671.10	SLC22A14
ENSG00000093217.10	XYLB
ENSG00000114739.14	ACVR2B
ENSG00000157036.13	EXOG
ENSG00000183873.15	SCN5A
ENSG00000185313.8	SCN10A
ENSG00000168356.12	SCN11A
ENSG00000114742.14	WDR48
ENSG00000114745.13	GORASP1
ENSG00000168026.18	TTC21A
ENSG00000144655.15	CSRNP1
ENSG00000168334.9	XIRP1
ENSG00000168329.13	CX3CR1
ENSG00000179934.6	CCR8
ENSG00000144659.13	SLC25A38
ENSG00000168028.14	RPSA
ENSG00000168314.17	MOBP
ENSG00000170011.14	MYRIP
ENSG00000114784.4	EIF1B
ENSG00000168032.9	ENTPD3
ENSG00000188846.13	RPL14
ENSG00000177873.13	ZNF619
ENSG00000177842.12	ZNF620
ENSG00000172888.12	ZNF621
ENSG00000168036.18	CTNNB1
ENSG00000168038.11	ULK4
ENSG00000182606.15	TRAK1
ENSG00000187094.11	CCK
ENSG00000157093.9	LYZL4
ENSG00000114812.13	VIPR1
ENSG00000093183.14	SEC22C
ENSG00000008324.11	SS18L2
ENSG00000114857.18	NKTR
ENSG00000114853.14	ZBTB47
ENSG00000157119.11	KLHL40
ENSG00000010282.14	HHATL
ENSG00000280571.2	AC006059.2
ENSG00000244607.6	CCDC13
ENSG00000181061.13	HIGD1A
ENSG00000144648.16	ACKR2
ENSG00000273291.5	AC092042.3
ENSG00000240747.7	KRBOX1
ENSG00000180432.5	CYP8B1
ENSG00000182983.14	ZNF662
ENSG00000144649.9	GASK1A
ENSG00000144647.6	POMGNT2
ENSG00000163788.14	SNRK
ENSG00000160746.12	ANO10
ENSG00000011198.9	ABHD5
ENSG00000173769.4	TOPAZ1
ENSG00000179152.20	TCAIM
ENSG00000185219.17	ZNF445
ENSG00000178917.16	ZNF852
ENSG00000196345.13	ZKSCAN7
ENSG00000144792.9	ZNF660
ENSG00000186448.15	ZNF197
ENSG00000169981.11	ZNF35
ENSG00000196653.12	ZNF502
ENSG00000186446.12	ZNF501
ENSG00000163807.6	KIAA1143
ENSG00000163808.17	KIF15
ENSG00000169964.8	TMEM42
ENSG00000163810.11	TGM4
ENSG00000163812.15	ZDHHC3
ENSG00000075914.13	EXOSC7
ENSG00000163815.6	CLEC3B
ENSG00000163814.8	CDCP1
ENSG00000249992.1	TMEM158
ENSG00000011376.12	LARS2
ENSG00000144791.10	LIMD1
ENSG00000211456.11	SACM1L
ENSG00000163817.16	SLC6A20
ENSG00000163818.17	LZTFL1
ENSG00000173585.16	CCR9
ENSG00000163820.15	FYCO1
ENSG00000172215.6	CXCR6
ENSG00000173578.7	XCR1
ENSG00000183625.15	CCR3
ENSG00000163823.4	CCR1
ENSG00000121807.5	CCR2
ENSG00000160791.13	CCR5
ENSG00000121797.10	CCRL2
ENSG00000012223.12	LTF
ENSG00000163825.4	RTP3
ENSG00000163827.13	LRRC2
ENSG00000241186.10	TDGF1
ENSG00000283877.1	AC104304.1
ENSG00000283473.3	FAM240A
ENSG00000178038.17	ALS2CL
ENSG00000181585.6	TMIE
ENSG00000206549.13	PRSS50
ENSG00000283706.2	PRSS50
ENSG00000188086.14	PRSS45P
ENSG00000178055.12	PRSS42P
ENSG00000160808.10	MYL3
ENSG00000160801.14	PTH1R
ENSG00000160799.11	CCDC12
ENSG00000160796.17	NBEAL2
ENSG00000181555.20	SETD2
ENSG00000088727.12	KIF9
ENSG00000114648.12	KLHL18
ENSG00000076201.15	PTPN23
ENSG00000114650.20	SCAP
ENSG00000163832.16	ELP6
ENSG00000114646.10	CSPG5
ENSG00000173473.11	SMARCC1
ENSG00000132153.15	DHX30
ENSG00000047849.21	MAP4
ENSG00000164045.11	CDC25A
ENSG00000164047.5	CAMP
ENSG00000164048.14	ZNF589
ENSG00000172113.9	NME6
ENSG00000229453.2	SPINK8
ENSG00000164049.14	FBXW12
ENSG00000164050.13	PLXNB1
ENSG00000164051.14	CCDC51
ENSG00000232112.3	TMA7
ENSG00000164053.21	ATRIP
ENSG00000213689.14	TREX1
ENSG00000164054.15	SHISA5
ENSG00000114268.12	PFKFB4
ENSG00000145040.4	UCN2
ENSG00000114270.17	COL7A1
ENSG00000010256.11	UQCRC1
ENSG00000183396.3	TMEM89
ENSG00000225697.13	SLC26A6
ENSG00000008300.17	CELSR3
ENSG00000213672.8	NCKIPSD
ENSG00000068745.15	IP6K2
ENSG00000114302.16	PRKAR2A
ENSG00000178537.10	SLC25A20
ENSG00000221883.3	ARIH2OS
ENSG00000177479.19	ARIH2
ENSG00000178467.18	P4HTM
ENSG00000178252.18	WDR6
ENSG00000178149.17	DALRD3
ENSG00000178057.14	NDUFAF3
ENSG00000178035.12	IMPDH2
ENSG00000198218.11	QRICH1
ENSG00000172053.18	QARS
ENSG00000172046.19	USP19
ENSG00000172037.14	LAMB2
ENSG00000177352.10	CCDC71
ENSG00000185909.15	KLHDC8B
ENSG00000236980.9	C3orf84
ENSG00000173421.17	CCDC36
ENSG00000188315.8	C3orf62
ENSG00000114316.12	USP4
ENSG00000067560.12	RHOA
ENSG00000145022.4	TCTA
ENSG00000145020.15	AMT
ENSG00000283189.2	AC104452.1
ENSG00000145029.13	NICN1
ENSG00000173402.11	DAG1
ENSG00000164061.5	BSN
ENSG00000164062.13	APEH
ENSG00000173531.15	MST1
ENSG00000164068.16	RNF123
ENSG00000176020.8	AMIGO3
ENSG00000173540.12	GMPPB
ENSG00000176095.12	IP6K1
ENSG00000187492.9	CDHR4
ENSG00000185614.5	INKA1
ENSG00000182179.13	UBA7
ENSG00000183763.9	TRAIP
ENSG00000164076.17	CAMKV
ENSG00000164078.13	MST1R
ENSG00000164077.14	MON1A
ENSG00000004534.15	RBM6
ENSG00000003756.16	RBM5
ENSG00000001617.12	SEMA3F
ENSG00000114349.9	GNAT1
ENSG00000188338.15	SLC38A3
ENSG00000114353.17	GNAI2
ENSG00000012171.19	SEMA3B
ENSG00000179564.4	LSMEM2
ENSG00000214706.10	IFRD2
ENSG00000186792.17	HYAL3
ENSG00000243477.5	NAA80
ENSG00000114378.17	HYAL1
ENSG00000068001.14	HYAL2
ENSG00000114383.10	TUSC2
ENSG00000068028.17	RASSF1
ENSG00000004838.14	ZMYND10
ENSG00000114388.13	NPRL2
ENSG00000114395.10	CYB561D2
ENSG00000272104.1	Z84492.2
ENSG00000126062.4	TMEM115
ENSG00000007402.11	CACNA2D2
ENSG00000088543.15	C3orf18
ENSG00000114735.9	HEMK1
ENSG00000114737.15	CISH
ENSG00000114738.11	MAPKAPK3
ENSG00000088538.13	DOCK3
ENSG00000145050.17	MANF
ENSG00000259956.2	RBM15B
ENSG00000145041.15	DCAF1
ENSG00000164080.13	RAD54L2
ENSG00000164081.12	TEX264
ENSG00000164082.15	GRM2
ENSG00000214686.6	IQCF6
ENSG00000285749.2	AC097636.2
ENSG00000229972.8	IQCF3
ENSG00000184345.4	IQCF2
ENSG00000214681.4	IQCF5
