ENSMUSG00000051951.5	Xkr4
ENSMUSG00000049551.2	Fzd9
ENSMUSG00000040013.11	Fkbp6
ENSMUSG00000053388.10	Trim50
ENSMUSG00000000916.15	Nsun5
ENSMUSG00000053293.9	Pom121
ENSMUSG00000039959.13	Hip1
ENSMUSG00000070464.1	Ccl26
ENSMUSG00000004814.10	Ccl24
ENSMUSG00000039917.10	Rhbdd2
ENSMUSG00000005514.14	Por
ENSMUSG00000039886.8	Tmem120a
ENSMUSG00000019178.17	Styxl1
ENSMUSG00000019179.10	Mdh2
ENSMUSG00000039860.19	Srrm3
ENSMUSG00000004951.10	Hspb1
ENSMUSG00000051391.9	Ywhag
ENSMUSG00000029699.13	Ssc4d
ENSMUSG00000004948.12	Zp3
ENSMUSG00000004947.15	Dtx2
ENSMUSG00000042985.7	Upk3b
ENSMUSG00000006143.12	Upk3bl
ENSMUSG00000004952.13	Rasa4
ENSMUSG00000039771.13	Polr2j
ENSMUSG00000029703.10	Lrwd1
ENSMUSG00000039754.10	Alkbh4
ENSMUSG00000039747.11	Orai2
ENSMUSG00000039737.11	Prkrip1
ENSMUSG00000005057.13	Sh2b2
ENSMUSG00000029705.17	Cux1
ENSMUSG00000005474.9	Myl10
ENSMUSG00000004415.15	Col26a1
ENSMUSG00000007987.12	Ift22
ENSMUSG00000019054.13	Fis1
ENSMUSG00000001739.14	Cldn15
ENSMUSG00000059518.14	Znhit1
ENSMUSG00000004846.10	Plod3
ENSMUSG00000037428.14	Vgf
ENSMUSG00000004849.14	Ap1s1
ENSMUSG00000037411.10	Serpine1
ENSMUSG00000043279.9	Trim56
ENSMUSG00000037390.12	Muc3
ENSMUSG00000094840.5	Muc3a
ENSMUSG00000023328.14	Ache
ENSMUSG00000051502.6	Ufsp1
ENSMUSG00000037364.12	Srrt
ENSMUSG00000023348.11	Trip6
ENSMUSG00000037344.14	Slc12a9
ENSMUSG00000029710.15	Ephb4
ENSMUSG00000079173.11	Zan
ENSMUSG00000029711.13	Epo
ENSMUSG00000029715.5	Pop7
ENSMUSG00000029714.11	Gigyf1
ENSMUSG00000029713.15	Gnb2
ENSMUSG00000029712.14	Actl6b
ENSMUSG00000029716.13	Tfr2
ENSMUSG00000037221.13	Mospd3
ENSMUSG00000029718.14	Pcolce
ENSMUSG00000089984.7	Fbxo24
ENSMUSG00000093445.7	Lrch4
ENSMUSG00000029720.9	Gm20605
ENSMUSG00000079165.10	Sap25
ENSMUSG00000047182.6	Irs3
ENSMUSG00000029722.15	Agfg2
ENSMUSG00000045348.16	Nyap1
ENSMUSG00000029723.16	Tsc22d4
ENSMUSG00000029725.10	Ppp1r35
ENSMUSG00000029726.16	Mepce
ENSMUSG00000037108.13	Zcwpw1
ENSMUSG00000046245.13	Pilra
ENSMUSG00000066684.10	Pilrb1
ENSMUSG00000066682.11	Pilrb2
ENSMUSG00000029727.7	Cyp3a13
ENSMUSG00000056966.7	Gjc3
ENSMUSG00000037053.6	Azgp1
ENSMUSG00000075599.4	Smok3a
ENSMUSG00000079156.11	Smok3b
ENSMUSG00000075598.5	Smok3c
ENSMUSG00000029729.12	Zkscan1
ENSMUSG00000037017.15	Zscan21
ENSMUSG00000037007.17	Zfp113
ENSMUSG00000019494.14	Cops6
ENSMUSG00000029730.16	Mcm7
ENSMUSG00000019518.11	Ap4m1
ENSMUSG00000036980.13	Taf6
ENSMUSG00000036968.15	Cnpy4
ENSMUSG00000049285.4	Mblac1
ENSMUSG00000047592.17	Nxpe5
ENSMUSG00000050552.8	Lamtor4
ENSMUSG00000036948.17	BC037034
ENSMUSG00000075593.10	Gal3st4
ENSMUSG00000106247.1	Gm43720
ENSMUSG00000029510.15	Gpc2
ENSMUSG00000036928.14	Stag3
ENSMUSG00000109713.1	Pvrig
ENSMUSG00000036898.16	Zfp157
ENSMUSG00000029526.5	1700123K08Rik
ENSMUSG00000058291.14	Zfp68
ENSMUSG00000056014.15	A430033K04Rik
ENSMUSG00000025854.15	Fam20c
ENSMUSG00000094504.3	Gm5294
ENSMUSG00000025856.15	Pdgfa
ENSMUSG00000025855.13	Prkar1b
ENSMUSG00000025857.10	Dnaaf5
ENSMUSG00000036817.14	Sun1
ENSMUSG00000025858.12	Get4
ENSMUSG00000056413.16	Adap1
ENSMUSG00000045438.12	Cox19
ENSMUSG00000029541.12	Cyp2w1
ENSMUSG00000053553.11	3110082I17Rik
ENSMUSG00000044197.8	Gpr146
ENSMUSG00000044092.8	C130050O18Rik
ENSMUSG00000053647.4	Gper1
ENSMUSG00000053581.13	Zfand2a
ENSMUSG00000029546.12	Uncx
ENSMUSG00000036718.17	Micall2
ENSMUSG00000029547.10	Ints1
ENSMUSG00000018143.10	Mafk
ENSMUSG00000036687.13	Tmem184a
ENSMUSG00000098140.1	Gm26938
ENSMUSG00000029551.13	Psmg3
ENSMUSG00000048988.8	Elfn1
ENSMUSG00000029554.15	Mad1l1
ENSMUSG00000036639.12	Nudt1
ENSMUSG00000029557.7	Mrm2
ENSMUSG00000029560.12	Snx8
ENSMUSG00000056076.13	Eif3b
ENSMUSG00000106350.2	Gm4869
ENSMUSG00000036599.10	Chst12
ENSMUSG00000036586.6	Grifin
ENSMUSG00000029570.5	Lfng
ENSMUSG00000036565.7	Ttyh3
ENSMUSG00000036555.14	Iqce
ENSMUSG00000000148.17	Brat1
ENSMUSG00000050022.16	Amz1
ENSMUSG00000000149.10	Gna12
ENSMUSG00000036526.8	Card11
ENSMUSG00000039683.16	Sdk1
ENSMUSG00000056493.9	Foxk1
ENSMUSG00000039623.13	Ap5z1
ENSMUSG00000029576.17	Radil
ENSMUSG00000074817.2	Papolb
ENSMUSG00000039533.8	Mmd2
ENSMUSG00000029578.15	Wipi2
ENSMUSG00000050822.11	Slc29a4
ENSMUSG00000039477.16	Tnrc18
ENSMUSG00000066640.11	Fbxl18
ENSMUSG00000029580.14	Actb
ENSMUSG00000029581.14	Fscn1
ENSMUSG00000045078.12	Rnf216
ENSMUSG00000090981.6	Olfr718-ps1
ENSMUSG00000061898.10	Rbak
ENSMUSG00000029586.9	Spdye4b
ENSMUSG00000039296.15	Spdye4a
ENSMUSG00000029587.16	Zfp12
ENSMUSG00000046658.16	Zfp316
ENSMUSG00000093910.2	Zfp853
ENSMUSG00000039244.10	E130309D02Rik
ENSMUSG00000001844.10	Zdhhc4
ENSMUSG00000010825.17	Grid2ip
ENSMUSG00000079111.3	Kdelr2
ENSMUSG00000039206.13	Daglb
ENSMUSG00000001847.14	Rac1
ENSMUSG00000083012.8	Fam220a
ENSMUSG00000018001.18	Cyth3
ENSMUSG00000051306.7	Usp42
ENSMUSG00000029613.15	Eif2ak1
ENSMUSG00000029607.14	Ankrd61
ENSMUSG00000029610.13	Aimp2
ENSMUSG00000079109.11	Pms2
ENSMUSG00000104633.1	Gm42421
ENSMUSG00000075569.10	Rsph10b
ENSMUSG00000029617.10	Ccz1
ENSMUSG00000029618.13	Ocm
ENSMUSG00000038970.7	Lmtk2
ENSMUSG00000052271.7	Bhlha15
ENSMUSG00000066621.12	Tecpr1
ENSMUSG00000047843.16	Bri3
ENSMUSG00000038859.7	Baiap2l1
ENSMUSG00000059991.7	Nptx2
ENSMUSG00000043388.8	Tmem130
ENSMUSG00000045482.16	Trrap
ENSMUSG00000038780.14	Smurf1
ENSMUSG00000038770.17	Kpna7
ENSMUSG00000061707.5	Gm4871
ENSMUSG00000029620.4	1700018F24Rik
ENSMUSG00000029621.14	Arpc1a
ENSMUSG00000029622.16	Arpc1b
ENSMUSG00000029623.14	Pdap1
ENSMUSG00000038722.17	Bud31
ENSMUSG00000029624.10	Ptcd1
ENSMUSG00000029625.16	Cpsf4
ENSMUSG00000038690.15	Atp5j2
ENSMUSG00000029627.12	Zkscan14
ENSMUSG00000055991.15	Zkscan5
ENSMUSG00000007812.16	Zfp655
ENSMUSG00000070420.4	Zscan25
ENSMUSG00000070419.11	Cyp3a57
ENSMUSG00000038656.5	Cyp3a16
ENSMUSG00000075552.4	Cyp3a41b
ENSMUSG00000075551.4	Cyp3a41a
ENSMUSG00000054417.5	Cyp3a44
ENSMUSG00000056035.8	Cyp3a11
ENSMUSG00000029630.15	Cyp3a25
ENSMUSG00000061292.10	Cyp3a59
ENSMUSG00000104752.1	Gm5565
ENSMUSG00000096798.1	Gm6309
ENSMUSG00000095040.2	1700001J03Rik
ENSMUSG00000029634.15	Rnf6
ENSMUSG00000029635.15	Cdk8
ENSMUSG00000029636.10	Wasf3
ENSMUSG00000096344.2	Gm6408
ENSMUSG00000096527.5	Gm6370
ENSMUSG00000079093.2	4930449I24Rik
ENSMUSG00000041505.15	Gm3402
ENSMUSG00000079091.1	Gm3404
ENSMUSG00000096664.7	Gm3409
ENSMUSG00000095557.7	Gm3415
ENSMUSG00000041468.7	Gpr12
ENSMUSG00000029640.17	Usp12
ENSMUSG00000041453.12	Rpl21
ENSMUSG00000029641.8	Rasl11a
ENSMUSG00000016503.17	Gtf3a
ENSMUSG00000016510.11	Mtif3
ENSMUSG00000016520.7	Lnx2
ENSMUSG00000029642.11	Polr1d
ENSMUSG00000053129.5	Gsx1
ENSMUSG00000029644.7	Pdx1
ENSMUSG00000029646.3	Cdx2
ENSMUSG00000075543.4	Urad
ENSMUSG00000042817.15	Flt3
ENSMUSG00000029647.15	Pan3
ENSMUSG00000029648.13	Flt1
ENSMUSG00000029649.10	Pomp
ENSMUSG00000029650.10	Slc46a3
ENSMUSG00000029651.16	Mtus2
ENSMUSG00000041313.14	Slc7a1
ENSMUSG00000001687.15	Ubl3
ENSMUSG00000041298.15	Katnal1
ENSMUSG00000106892.1	Gm42791
ENSMUSG00000066551.12	Hmgb1
ENSMUSG00000041264.16	Uspl1
ENSMUSG00000060063.9	Alox5ap
ENSMUSG00000029659.16	Medag
ENSMUSG00000029660.10	Tex26
ENSMUSG00000029658.17	Wdr95
ENSMUSG00000029657.15	Hsph1
ENSMUSG00000051950.10	B3glct
ENSMUSG00000053368.13	Rxfp2
ENSMUSG00000056602.11	Fry
ENSMUSG00000056586.8	Zar1l
ENSMUSG00000041147.10	Brca2
ENSMUSG00000041132.11	N4bp2l1
ENSMUSG00000029655.17	N4bp2l2
ENSMUSG00000034021.15	Pds5b
ENSMUSG00000058488.7	Kl
ENSMUSG00000016128.14	Stard13
ENSMUSG00000107011.1	Gm42906
ENSMUSG00000091794.3	Vmn2r18
ENSMUSG00000033970.15	Rfc3
ENSMUSG00000047735.14	Samd9l
ENSMUSG00000044156.14	Hepacam2
ENSMUSG00000001376.17	Vps50
ENSMUSG00000023964.15	Calcr
ENSMUSG00000029664.10	Tfpi2
ENSMUSG00000029663.10	Gngt1
ENSMUSG00000032766.9	Gng11
ENSMUSG00000032757.6	Bet1
ENSMUSG00000029661.16	Col1a2
ENSMUSG00000015189.12	Casd1
ENSMUSG00000004631.15	Sgce
ENSMUSG00000092035.8	Peg10
ENSMUSG00000032827.15	Ppp1r9a
ENSMUSG00000002588.13	Pon1
ENSMUSG00000029759.9	Pon3
ENSMUSG00000032667.17	Pon2
ENSMUSG00000042607.15	Asb4
ENSMUSG00000019577.6	Pdk4
ENSMUSG00000029757.16	Dync1i1
ENSMUSG00000015112.15	Slc25a13
ENSMUSG00000042541.10	Sem1
ENSMUSG00000029754.13	Dlx6
ENSMUSG00000029755.10	Dlx5
ENSMUSG00000042505.6	Sdhaf3
ENSMUSG00000061762.12	Tac1
ENSMUSG00000029752.12	Asns
ENSMUSG00000042460.5	C1galt1
ENSMUSG00000068794.7	Col28a1
ENSMUSG00000042447.13	Mios
ENSMUSG00000012483.4	Rpa3
ENSMUSG00000089862.8	Umad1
ENSMUSG00000107705.1	Gm45062
ENSMUSG00000029638.17	Glcci1
ENSMUSG00000062995.12	Ica1
ENSMUSG00000046178.3	Nxph1
ENSMUSG00000029632.7	Ndufa4
ENSMUSG00000029629.17	Phf14
ENSMUSG00000032625.14	Thsd7a
ENSMUSG00000029571.14	Tmem106b
ENSMUSG00000079679.3	Vwde
ENSMUSG00000029569.9	Tmem168
ENSMUSG00000042742.7	Bmt2
ENSMUSG00000048216.13	Gpr85
ENSMUSG00000052419.7	2610001J05Rik
ENSMUSG00000042717.5	Ppp1r3a
ENSMUSG00000029563.16	Foxp2
ENSMUSG00000041390.18	Mdfic
ENSMUSG00000029553.10	Tfec
ENSMUSG00000029552.19	Tes
ENSMUSG00000000058.6	Cav2
ENSMUSG00000007655.16	Cav1
ENSMUSG00000009376.15	Met
ENSMUSG00000015733.13	Capza2
ENSMUSG00000029534.17	St7
ENSMUSG00000010797.6	Wnt2
ENSMUSG00000010796.11	Asz1
ENSMUSG00000041301.15	Cftr
ENSMUSG00000000416.16	Cttnbp2
ENSMUSG00000044155.11	Lsm8
ENSMUSG00000029517.13	Ankrd7
ENSMUSG00000060882.5	Kcnd2
ENSMUSG00000029669.14	Tspan12
ENSMUSG00000029670.12	Ing3
ENSMUSG00000062980.15	Cped1
ENSMUSG00000029671.15	Wnt16
ENSMUSG00000029672.16	Fam3c
ENSMUSG00000068748.7	Ptprz1
ENSMUSG00000029695.13	Aass
ENSMUSG00000029697.6	Fezf1
ENSMUSG00000017978.18	Cadps2
ENSMUSG00000051956.4	Rnf133
ENSMUSG00000078179.1	Rnf148
ENSMUSG00000043865.3	Tas2r118
ENSMUSG00000029700.11	Slc13a1
ENSMUSG00000046192.4	Iqub
ENSMUSG00000023089.12	Ndufa5
ENSMUSG00000029685.15	Asb15
ENSMUSG00000029683.7	Lmod2
ENSMUSG00000029684.14	Wasl
ENSMUSG00000029679.7	Hyal6
ENSMUSG00000029680.2	Hyal4
ENSMUSG00000029682.5	Spam1
ENSMUSG00000029678.8	Hyal5
ENSMUSG00000048022.11	Tmem229a
ENSMUSG00000039904.9	Gpr37
ENSMUSG00000029676.15	Pot1a
ENSMUSG00000024211.15	Grm8
ENSMUSG00000039841.14	Zfp800
ENSMUSG00000029708.9	Gcc1
ENSMUSG00000020440.13	Arf5
ENSMUSG00000029707.6	Fscn3
ENSMUSG00000029706.15	Pax4
ENSMUSG00000001424.14	Snd1
ENSMUSG00000049939.6	Lrrc4
ENSMUSG00000059201.12	Lep
ENSMUSG00000029701.15	Rbm28
ENSMUSG00000079654.3	Prrt4
ENSMUSG00000003500.13	Impdh1
ENSMUSG00000043421.8	Hilpda
ENSMUSG00000079652.8	Fam71f2
ENSMUSG00000039742.15	Fam71f1
ENSMUSG00000029767.16	Calu
ENSMUSG00000058831.13	Opn1sw
ENSMUSG00000029769.16	Ccdc136
ENSMUSG00000068699.12	Flnc
ENSMUSG00000004285.12	Atp6v1f
ENSMUSG00000090685.1	Atp6v1fnb
ENSMUSG00000059022.14	Kcp
ENSMUSG00000029771.12	Irf5
ENSMUSG00000012535.14	Tnpo3
ENSMUSG00000001763.14	Tspan33
ENSMUSG00000001761.7	Smo
ENSMUSG00000029772.17	Ahcyl2
ENSMUSG00000039629.14	Strip2
ENSMUSG00000058440.14	Nrf1
ENSMUSG00000039159.16	Ube2h
ENSMUSG00000039130.18	Zc3hc1
ENSMUSG00000029775.14	Klhdc10
ENSMUSG00000029782.19	Tmem209
ENSMUSG00000029784.13	Ssmem1
ENSMUSG00000071553.10	Cpa2
ENSMUSG00000039070.5	Cpa4
ENSMUSG00000029788.13	Cpa5
ENSMUSG00000054446.8	Cpa1
ENSMUSG00000029790.16	Cep41
ENSMUSG00000051855.15	Mest
ENSMUSG00000025607.15	Copg2
ENSMUSG00000039032.2	Tsga13
ENSMUSG00000073209.4	Klf14
ENSMUSG00000025609.15	Mkln1
ENSMUSG00000025608.9	Podxl
ENSMUSG00000029766.7	1700012A03Rik
ENSMUSG00000029765.12	Plxna4
ENSMUSG00000053768.13	Chchd3
ENSMUSG00000029763.17	Exoc4
ENSMUSG00000056215.13	Lrguk
ENSMUSG00000018999.14	Slc35b4
ENSMUSG00000001642.18	Akr1b3
ENSMUSG00000029762.6	Akr1b8
ENSMUSG00000061758.13	Akr1b10
ENSMUSG00000052131.7	Akr1b7
ENSMUSG00000038871.5	Bpgm
ENSMUSG00000029761.16	Cald1
ENSMUSG00000038836.15	Agbl3
ENSMUSG00000057137.9	Tmem140
ENSMUSG00000046806.13	Cyren
ENSMUSG00000058486.11	Wdr91
ENSMUSG00000029848.11	Stra8
ENSMUSG00000029847.13	Slc23a4
ENSMUSG00000038784.13	Cnot4
ENSMUSG00000038759.15	Nup205
ENSMUSG00000029843.4	Slc13a4
ENSMUSG00000047420.8	Fam180a
ENSMUSG00000029840.8	Mtpn
ENSMUSG00000045613.9	Chrm2
ENSMUSG00000029838.11	Ptn
ENSMUSG00000038665.15	Dgki
ENSMUSG00000038648.5	Creb3l2
ENSMUSG00000038641.12	Akr1d1
ENSMUSG00000029833.17	Trim24
ENSMUSG00000029830.15	Svopl
ENSMUSG00000038600.12	Atp6v0a4
ENSMUSG00000029829.4	Tmem213
ENSMUSG00000063455.16	D630045J12Rik
ENSMUSG00000047749.2	Zc3hav1l
ENSMUSG00000029826.14	Zc3hav1
ENSMUSG00000056832.14	Ttc26
ENSMUSG00000038538.17	Ubn2
ENSMUSG00000019689.4	Fmc1
ENSMUSG00000029823.16	Luc7l2
ENSMUSG00000071537.6	Klrg2
ENSMUSG00000061436.15	Hipk2
ENSMUSG00000029925.13	Tbxas1
ENSMUSG00000038507.6	Parp12
ENSMUSG00000042599.8	Kdm7a
ENSMUSG00000029924.12	Slc37a3
ENSMUSG00000029923.4	Rab19
ENSMUSG00000029922.15	Mkrn1
ENSMUSG00000038456.9	Dennd2a
ENSMUSG00000046947.12	Adck2
ENSMUSG00000107071.1	Gm42420
ENSMUSG00000002416.13	Ndufb2
ENSMUSG00000002413.15	Braf
ENSMUSG00000029918.9	Mrps33
ENSMUSG00000057716.6	Tmem178b
ENSMUSG00000029916.11	Agk
ENSMUSG00000037172.14	E330009J07Rik
ENSMUSG00000037159.11	Wee2
ENSMUSG00000029911.14	Ssbp1
ENSMUSG00000052850.5	Tas2r137
ENSMUSG00000037140.6	Tas2r108
ENSMUSG00000029909.6	Prss37
ENSMUSG00000068259.4	Olfr461
ENSMUSG00000045514.5	Olfr460
ENSMUSG00000029915.14	Clec5a
ENSMUSG00000058250.2	Tas2r138
ENSMUSG00000068587.9	Mgam
ENSMUSG00000029885.3	Moxd2
ENSMUSG00000051936.4	Prss58
ENSMUSG00000029883.12	1700074P13Rik
ENSMUSG00000063252.6	Gm4744
ENSMUSG00000094808.2	1810009J06Rik
ENSMUSG00000096525.2	Gm2663
ENSMUSG00000029882.5	2210010C04Rik
ENSMUSG00000054106.7	Try4
ENSMUSG00000036938.17	Try5
ENSMUSG00000071521.4	Try10
ENSMUSG00000071519.6	Prss3
ENSMUSG00000058119.6	Gm5771
ENSMUSG00000071517.6	Gm10334
ENSMUSG00000062751.5	Prss1
ENSMUSG00000057163.3	Prss2
ENSMUSG00000076490.6	Trbc1
ENSMUSG00000076498.2	Trbc2
ENSMUSG00000029869.7	Ephb6
ENSMUSG00000029868.13	Trpv6
ENSMUSG00000036899.10	Trpv5
ENSMUSG00000029867.5	Llcfc1
ENSMUSG00000029866.13	Kel
ENSMUSG00000045479.7	Olfr459
ENSMUSG00000058499.9	Pip
ENSMUSG00000014104.12	Sval2
ENSMUSG00000029865.4	Sval1
ENSMUSG00000062833.2	Sval3
ENSMUSG00000023289.11	Sva
ENSMUSG00000047102.4	Tas2r139
ENSMUSG00000051917.3	Tas2r144
ENSMUSG00000029864.7	Gstk1
ENSMUSG00000029863.13	Casp2
ENSMUSG00000029862.15	Clcn1
ENSMUSG00000029861.17	Fam131b
ENSMUSG00000029860.16	Zyx
ENSMUSG00000029859.6	Epha1
ENSMUSG00000046652.3	Tas2r143
ENSMUSG00000056203.4	Tas2r135
ENSMUSG00000048284.4	Tas2r126
ENSMUSG00000068574.2	Olfr458
ENSMUSG00000091983.3	Olfr457
ENSMUSG00000090631.3	Olfr456
ENSMUSG00000071494.5	Olfr455
ENSMUSG00000018656.5	Tcaf3
ENSMUSG00000029851.5	Tcaf2
ENSMUSG00000036667.14	Tcaf1
ENSMUSG00000095831.2	Olfr453
ENSMUSG00000095236.2	Olfr38
ENSMUSG00000094192.5	Olfr452
ENSMUSG00000054431.4	Olfr450
ENSMUSG00000049168.9	Olfr449
ENSMUSG00000043119.5	Olfr448
ENSMUSG00000045708.4	Olfr447
ENSMUSG00000073111.3	Olfr446
ENSMUSG00000073110.3	Olfr444
ENSMUSG00000094669.3	Olfr441
ENSMUSG00000094200.2	Olfr237-ps1
ENSMUSG00000071481.4	Olfr437
ENSMUSG00000043605.5	Olfr13
ENSMUSG00000048693.5	Olfr435
ENSMUSG00000059411.6	Olfr434
ENSMUSG00000061210.4	Olfr47
ENSMUSG00000033542.13	Arhgef5
ENSMUSG00000029736.15	Nobox
ENSMUSG00000029735.17	Tpk1
ENSMUSG00000039419.17	Cntnap2
ENSMUSG00000029686.15	Cul1
ENSMUSG00000029687.16	Ezh2
ENSMUSG00000025823.9	Pdia4
ENSMUSG00000051499.7	Zfp786
ENSMUSG00000062519.13	Zfp398
ENSMUSG00000025821.9	Zfp282
ENSMUSG00000052763.7	Zfp212
ENSMUSG00000045466.18	Zfp956
ENSMUSG00000071477.10	Zfp777
ENSMUSG00000057691.8	Zfp746
ENSMUSG00000042810.14	Krba1
ENSMUSG00000068551.12	Zfp467
ENSMUSG00000029797.13	Sspo
ENSMUSG00000039347.7	Atp6v0e2
ENSMUSG00000073096.11	Lrrc61
ENSMUSG00000009281.6	Rarres2
ENSMUSG00000052730.6	Gm5111
ENSMUSG00000107588.1	Gm45021
ENSMUSG00000052751.16	Repin1
ENSMUSG00000107789.1	Gm44965
ENSMUSG00000007216.6	Zfp775
ENSMUSG00000053297.14	AI854703
ENSMUSG00000064262.7	Gimap8
ENSMUSG00000051124.6	Gimap9
ENSMUSG00000054435.16	Gimap4
ENSMUSG00000047867.11	Gimap6
ENSMUSG00000098715.6	Gm28053
ENSMUSG00000043931.10	Gimap7
ENSMUSG00000090019.5	Gimap1
ENSMUSG00000043505.8	Gimap5
ENSMUSG00000039264.9	Gimap3
ENSMUSG00000029810.15	Tmem176b
ENSMUSG00000023367.14	Tmem176a
ENSMUSG00000029811.14	Aoc1
ENSMUSG00000029813.8	1600015I10Rik
ENSMUSG00000068536.11	Doxl2
ENSMUSG00000039215.5	Svs1
ENSMUSG00000029816.10	Gpnmb
ENSMUSG00000029815.12	Malsu1
ENSMUSG00000029814.10	Igf2bp3
ENSMUSG00000029817.11	Tra2a
ENSMUSG00000050786.8	Ccdc126
ENSMUSG00000047115.15	Fam221a
ENSMUSG00000023403.14	Stk31
ENSMUSG00000029819.6	Npy
ENSMUSG00000038388.14	Mpp6
ENSMUSG00000029821.15	Gsdme
ENSMUSG00000029822.15	Osbpl3
ENSMUSG00000063694.5	Cycs
ENSMUSG00000029828.4	4921507P07Rik
ENSMUSG00000029831.7	Npvf
ENSMUSG00000029832.16	Nfe2l3
ENSMUSG00000004980.16	Hnrnpa2b1
ENSMUSG00000029836.15	Cbx3
ENSMUSG00000038301.15	Snx10
ENSMUSG00000059182.7	Skap2
ENSMUSG00000029844.9	Hoxa1
ENSMUSG00000014704.10	Hoxa2
ENSMUSG00000101298.1	Gm28308
ENSMUSG00000079560.13	Hoxa3
ENSMUSG00000000942.10	Hoxa4
ENSMUSG00000038253.6	Hoxa5
ENSMUSG00000043219.9	Hoxa6
ENSMUSG00000038236.8	Hoxa7
ENSMUSG00000038227.15	Hoxa9
ENSMUSG00000000938.11	Hoxa10
ENSMUSG00000038210.10	Hoxa11
ENSMUSG00000038203.18	Hoxa13
ENSMUSG00000005503.8	Evx1
ENSMUSG00000029776.11	Hibadh
ENSMUSG00000004535.12	Tax1bp1
ENSMUSG00000063568.11	Jazf1
ENSMUSG00000053007.9	Creb5
ENSMUSG00000043496.7	Tril
ENSMUSG00000052955.5	Cpvl
ENSMUSG00000004633.17	Chn2
ENSMUSG00000045725.5	Prr15
ENSMUSG00000086040.8	Wipf3
ENSMUSG00000019124.10	Scrn1
ENSMUSG00000038074.16	Fkbp14
ENSMUSG00000005225.15	Plekha8
ENSMUSG00000038065.13	Mturn
ENSMUSG00000058446.14	Znrf2
ENSMUSG00000038058.14	Nod1
ENSMUSG00000002797.9	Ggct
ENSMUSG00000029777.10	Gars
ENSMUSG00000003476.16	Crhr2
ENSMUSG00000003477.5	Inmt
ENSMUSG00000038022.11	Mindy4
ENSMUSG00000004655.5	Aqp1
ENSMUSG00000004654.6	Ghrhr
ENSMUSG00000029778.12	Adcyap1r1
ENSMUSG00000037984.9	Neurod6
ENSMUSG00000037973.6	Ccdc129
ENSMUSG00000002930.6	Ppp1r17
ENSMUSG00000004347.16	Pde1c
ENSMUSG00000091625.8	Lsm5
ENSMUSG00000029787.10	Avl9
ENSMUSG00000059486.11	Kbtbd2
ENSMUSG00000029781.7	Fkbp9
ENSMUSG00000029780.14	Nt5c3
ENSMUSG00000071893.7	Vmn1r4
ENSMUSG00000090346.2	Vmn1r5
ENSMUSG00000115701.1	Vmn1r6
ENSMUSG00000093696.1	Vmn1r7
ENSMUSG00000061208.6	Vmn1r8
ENSMUSG00000091541.2	Vmn1r9
ENSMUSG00000115181.1	Vmn1r10
ENSMUSG00000115236.1	Vmn1r11
ENSMUSG00000057981.5	Vmn1r12
ENSMUSG00000064259.2	Vmn1r13
ENSMUSG00000114982.1	Vmn1r14
ENSMUSG00000115199.1	Vmn1r15
ENSMUSG00000115792.1	Vmn1r16
ENSMUSG00000115644.1	Vmn1r17
ENSMUSG00000091382.2	Vmn1r18
ENSMUSG00000115799.1	Vmn1r19
ENSMUSG00000115253.1	Vmn1r20
ENSMUSG00000037826.5	Ppm1k
ENSMUSG00000029798.11	Herc6
ENSMUSG00000043162.7	Pyurf
ENSMUSG00000062190.12	Lancl2
ENSMUSG00000037788.14	Vopp1
ENSMUSG00000115343.1	Vmn1r21
ENSMUSG00000115091.1	Vmn1r22
ENSMUSG00000093376.1	Vmn1r23
ENSMUSG00000115507.1	Vmn1r24
ENSMUSG00000115668.1	Vmn1r25
ENSMUSG00000048697.4	Vmn1r26
ENSMUSG00000071428.2	Vmn1r27
ENSMUSG00000115705.1	Vmn1r28
ENSMUSG00000091734.2	Vmn1r29
ENSMUSG00000095670.2	Vmn1r30
ENSMUSG00000115404.1	Vmn1r31
ENSMUSG00000029802.13	Abcg2
ENSMUSG00000029804.17	Herc3
ENSMUSG00000055430.4	Nap1l5
ENSMUSG00000037709.13	Fam13a
ENSMUSG00000049232.3	Tigd2
ENSMUSG00000045441.5	Gprin3
ENSMUSG00000025889.13	Snca
ENSMUSG00000054641.10	Mmrn1
ENSMUSG00000039578.17	Ccser1
ENSMUSG00000071424.10	Grid2
ENSMUSG00000073043.5	Atoh1
ENSMUSG00000029920.9	Smarcad1
ENSMUSG00000029919.5	Hpgds
ENSMUSG00000029917.15	C130060K24Rik
ENSMUSG00000044162.12	Tnip3
ENSMUSG00000049001.5	Ndnf
ENSMUSG00000029913.14	Prdm5
ENSMUSG00000036463.8	4930544G11Rik
ENSMUSG00000029910.14	Mad2l1
ENSMUSG00000062905.2	Vmn1r32
ENSMUSG00000059375.5	Vmn1r33
ENSMUSG00000091012.2	Vmn1r34
ENSMUSG00000060699.2	Vmn1r35
ENSMUSG00000115482.1	Vmn1r36
ENSMUSG00000115467.1	Vmn1r37
ENSMUSG00000115170.1	Vmn1r38
ENSMUSG00000093755.2	Vmn1r39
ENSMUSG00000036402.13	Gng12
ENSMUSG00000036390.8	Gadd45a
ENSMUSG00000036371.6	Serbp1
ENSMUSG00000018341.12	Il12rb2
ENSMUSG00000049093.9	Il23r
ENSMUSG00000051397.5	Tacstd2
ENSMUSG00000076609.2	Igkc
ENSMUSG00000053604.5	Rpia
